season,game_count
1921/22,1.0
1922/23,1.0
1923/24,1.0
1924/25,1.0
1925/26,2.0
1926/27,1.0
1927/28,1.0
1928/29,1.0
1929/30,1.0
1930/31,2.0
1931/32,1.0
1932/33,1.0
1933/34,0.0
1934/35,0.0
1935/36,1.0
1936/37,2.0
1937/38,0.0
1938/39,1.0
1939/40,0.0
1940/41,0.0
1941/42,0.0
1942/43,0.0
1943/44,0.0
1944/45,0.0
1945/46,0.0
1946/47,0.0
1947/48,1.0
1948/49,1.0
1949/50,0.0
1950/51,1.0
1951/52,1.0
1952/53,1.0
1953/54,2.0
1954/55,0.0
1955/56,1.0
1956/57,0.0
1957/58,0.0
1958/59,1.0
1959/60,1.0
1960/61,2.0
1961/62,6.0
1962/63,2.0
1963/64,15.0
1964/65,14.0
1965/66,16.0
1966/67,16.0
1967/68,15.0
1968/69,14.0
1969/70,4.0
1970/71,15.0
1971/72,13.0
1972/73,16.0
1973/74,7.0
1974/75,12.0
1975/76,14.0
1976/77,11.0
1977/78,15.0
1978/79,8.0
1979/80,12.0
1980/81,14.0
1981/82,0.0
1982/83,2.0
1983/84,6.0
1984/85,6.0
1985/86,10.0
1986/87,7.0
1987/88,14.0
1988/89,12.0
1989/90,11.0
1990/91,10.0
1991/92,11.0
1992/93,6.0
1993/94,4.0
1994/95,2.0
1995/96,0.0
1996/97,7.0
1997/98,4.0
1998/99,4.0
1999/00,2.0
2000/01,3.0
2001/02,2.0
2002/03,1.0
2003/04,0.0
2004/05,5.0
2005/06,6.0
2006/07,7.0
2007/08,4.0
2008/09,2.0
2009/10,2.0
2010/11,0.0
2011/12,2.0
2012/13,3.0
2013/14,1.0
2014/15,1.0
2015/16,1.0
2016/17,1.0
2017/18,0.0
2018/19,3.0
2019/20,1.0
2020/21,0.0
2021/22,2.0
